2021-06-25 19:32:15 status unpacked mawk:armhf 1.3.4.20200120-2
2021-06-25 19:32:15 install mount:armhf <none> 2.36.1-7ubuntu2
2021-06-25 19:32:15 status half-installed mount:armhf 2.36.1-7ubuntu2
2021-06-25 19:32:15 status unpacked mount:armhf 2.36.1-7ubuntu2
2021-06-25 19:32:15 install ncurses-base:all <none> 6.2+20201114-2build1
2021-06-25 19:32:15 status half-installed ncurses-base:all 6.2+20201114-2build1
2021-06-25 19:32:15 status unpacked ncurses-base:all 6.2+20201114-2build1
2021-06-25 19:32:15 install ncurses-bin:armhf <none> 6.2+20201114-2build1
2021-06-25 19:32:15 status half-installed ncurses-bin:armhf 6.2+20201114-2build1
2021-06-25 19:32:15 status unpacked ncurses-bin:armhf 6.2+20201114-2build1
2021-06-25 19:32:15 install passwd:armhf <none> 1:4.8.1-1ubuntu8
2021-06-25 19:32:15 status half-installed passwd:armhf 1:4.8.1-1ubuntu8
2021-06-25 19:32:15 status unpacked passwd:armhf 1:4.8.1-1ubuntu8
2021-06-25 19:32:15 upgrade perl-base:armhf 5.32.1-3ubuntu2 5.32.1-3ubuntu2
2021-06-25 19:32:15 status half-configured perl-base:armhf 5.32.1-3ubuntu2
2021-06-25 19:32:15 status unpacked perl-base:armhf 5.32.1-3ubuntu2
2021-06-25 19:32:15 status half-installed perl-base:armhf 5.32.1-3ubuntu2
2021-06-25 19:32:16 status unpacked perl-base:armhf 5.32.1-3ubuntu2
2021-06-25 19:32:16 install procps:armhf <none> 2:3.3.16-5ubuntu3
2021-06-25 19:32:16 status half-installed procps:armhf 2:3.3.16-5ubuntu3
2021-06-25 19:32:16 status unpacked procps:armhf 2:3.3.16-5ubuntu3
2021-06-25 19:32:16 install sed:armhf <none> 4.7-1ubuntu1
2021-06-25 19:32:16 status half-installed sed:armhf 4.7-1ubuntu1
2021-06-25 19:32:16 status unpacked sed:armhf 4.7-1ubuntu1
2021-06-25 19:32:16 install sensible-utils:all <none> 0.0.14
2021-06-25 19:32:16 status half-installed sensible-utils:all 0.0.14
2021-06-25 19:32:17 status unpacked sensible-utils:all 0.0.14
2021-06-25 19:32:17 install sysvinit-utils:armhf <none> 2.96-6ubuntu1
2021-06-25 19:32:17 status half-installed sysvinit-utils:armhf 2.96-6ubuntu1
2021-06-25 19:32:17 status unpacked sysvinit-utils:armhf 2.96-6ubuntu1
2021-06-25 19:32:17 install tar:armhf <none> 1.34+dfsg-1build1
2021-06-25 19:32:17 status half-installed tar:armhf 1.34+dfsg-1build1
2021-06-25 19:32:17 status unpacked tar:armhf 1.34+dfsg-1build1
2021-06-25 19:32:17 install usrmerge:all <none> 24ubuntu3
2021-06-25 19:32:17 status half-installed usrmerge:all 24ubuntu3
2021-06-25 19:32:17 status unpacked usrmerge:all 24ubuntu3
2021-06-25 19:32:17 install util-linux:armhf <none> 2.36.1-7ubuntu2
2021-06-25 19:32:17 status half-installed util-linux:armhf 2.36.1-7ubuntu2
2021-06-25 19:32:17 status unpacked util-linux:armhf 2.36.1-7ubuntu2
2021-06-25 19:32:17 install zlib1g:armhf <none> 1:1.2.11.dfsg-2ubuntu6
2021-06-25 19:32:17 status half-installed zlib1g:armhf 1:1.2.11.dfsg-2ubuntu6
2021-06-25 19:32:17 status unpacked zlib1g:armhf 1:1.2.11.dfsg-2ubuntu6
2021-06-25 19:32:17 startup packages configure
2021-06-25 19:32:17 configure gcc-11-base:armhf 11-20210417-1ubuntu1 <none>
2021-06-25 19:32:17 status unpacked gcc-11-base:armhf 11-20210417-1ubuntu1
2021-06-25 19:32:17 status half-configured gcc-11-base:armhf 11-20210417-1ubuntu1
2021-06-25 19:32:17 status installed gcc-11-base:armhf 11-20210417-1ubuntu1
2021-06-25 19:32:17 configure lsb-base:all 11.1.0ubuntu2 <none>
2021-06-25 19:32:17 status unpacked lsb-base:all 11.1.0ubuntu2
2021-06-25 19:32:17 status half-configured lsb-base:all 11.1.0ubuntu2
2021-06-25 19:32:17 status installed lsb-base:all 11.1.0ubuntu2
2021-06-25 19:32:17 configure libaudit-common:all 1:3.0-2ubuntu1 <none>
2021-06-25 19:32:17 status unpacked libaudit-common:all 1:3.0-2ubuntu1
2021-06-25 19:32:17 status half-configured libaudit-common:all 1:3.0-2ubuntu1
2021-06-25 19:32:17 status installed libaudit-common:all 1:3.0-2ubuntu1
2021-06-25 19:32:17 configure libsemanage-common:all 3.1-1ubuntu1 <none>
2021-06-25 19:32:17 status unpacked libsemanage-common:all 3.1-1ubuntu1
2021-06-25 19:32:17 status half-configured libsemanage-common:all 3.1-1ubuntu1
2021-06-25 19:32:17 status installed libsemanage-common:all 3.1-1ubuntu1
2021-06-25 19:32:17 configure ncurses-base:all 6.2+20201114-2build1 <none>
2021-06-25 19:32:17 status unpacked ncurses-base:all 6.2+20201114-2build1
2021-06-25 19:32:17 status half-configured ncurses-base:all 6.2+20201114-2build1
2021-06-25 19:32:17 status installed ncurses-base:all 6.2+20201114-2build1
2021-06-25 19:32:17 configure sensible-utils:all 0.0.14 <none>
2021-06-25 19:32:17 status unpacked sensible-utils:all 0.0.14
2021-06-25 19:32:17 status half-configured sensible-utils:all 0.0.14
2021-06-25 19:32:17 status installed sensible-utils:all 0.0.14
2021-06-25 19:32:17 configure libcrypt1:armhf 1:4.4.17-1ubuntu3 <none>
2021-06-25 19:32:17 status unpacked libcrypt1:armhf 1:4.4.17-1ubuntu3
2021-06-25 19:32:17 status half-configured libcrypt1:armhf 1:4.4.17-1ubuntu3
2021-06-25 19:32:17 status installed libcrypt1:armhf 1:4.4.17-1ubuntu3
2021-06-25 19:32:17 configure libgcc-s1:armhf 11-20210417-1ubuntu1 <none>
2021-06-25 19:32:17 status unpacked libgcc-s1:armhf 11-20210417-1ubuntu1
2021-06-25 19:32:17 status half-configured libgcc-s1:armhf 11-20210417-1ubuntu1
2021-06-25 19:32:17 status installed libgcc-s1:armhf 11-20210417-1ubuntu1
2021-06-25 19:32:17 configure libc6:armhf 2.33-0ubuntu5 <none>
2021-06-25 19:32:17 status unpacked libc6:armhf 2.33-0ubuntu5
2021-06-25 19:32:17 status half-configured libc6:armhf 2.33-0ubuntu5
2021-06-25 19:32:18 status installed libc6:armhf 2.33-0ubuntu5
2021-06-25 19:32:18 configure libudev1:armhf 247.3-3ubuntu3 <none>
2021-06-25 19:32:18 status unpacked libudev1:armhf 247.3-3ubuntu3
2021-06-25 19:32:18 status half-configured libudev1:armhf 247.3-3ubuntu3
2021-06-25 19:32:18 status installed libudev1:armhf 247.3-3ubuntu3
2021-06-25 19:32:18 configure libsepol1:armhf 3.1-1ubuntu1 <none>
2021-06-25 19:32:18 status unpacked libsepol1:armhf 3.1-1ubuntu1
2021-06-25 19:32:18 status half-configured libsepol1:armhf 3.1-1ubuntu1
2021-06-25 19:32:18 status installed libsepol1:armhf 3.1-1ubuntu1
2021-06-25 19:32:18 configure libattr1:armhf 1:2.4.48-6build1 <none>
2021-06-25 19:32:18 status unpacked libattr1:armhf 1:2.4.48-6build1
2021-06-25 19:32:18 status half-configured libattr1:armhf 1:2.4.48-6build1
2021-06-25 19:32:18 status installed libattr1:armhf 1:2.4.48-6build1
2021-06-25 19:32:18 configure sysvinit-utils:armhf 2.96-6ubuntu1 <none>
2021-06-25 19:32:18 status unpacked sysvinit-utils:armhf 2.96-6ubuntu1
2021-06-25 19:32:18 status half-configured sysvinit-utils:armhf 2.96-6ubuntu1
2021-06-25 19:32:18 status installed sysvinit-utils:armhf 2.96-6ubuntu1
2021-06-25 19:32:18 configure debianutils:armhf 4.11.2 <none>
2021-06-25 19:32:18 status unpacked debianutils:armhf 4.11.2
2021-06-25 19:32:18 status half-configured debianutils:armhf 4.11.2
2021-06-25 19:32:18 status installed debianutils:armhf 4.11.2
2021-06-25 19:32:18 configure mawk:armhf 1.3.4.20200120-2 <none>
2021-06-25 19:32:18 status unpacked mawk:armhf 1.3.4.20200120-2
2021-06-25 19:32:18 status half-configured mawk:armhf 1.3.4.20200120-2
2021-06-25 19:32:18 status installed mawk:armhf 1.3.4.20200120-2
2021-06-25 19:32:18 configure libdebconfclient0:armhf 0.256ubuntu3 <none>
2021-06-25 19:32:18 status unpacked libdebconfclient0:armhf 0.256ubuntu3
2021-06-25 19:32:18 status half-configured libdebconfclient0:armhf 0.256ubuntu3
2021-06-25 19:32:18 status installed libdebconfclient0:armhf 0.256ubuntu3
2021-06-25 19:32:18 configure base-files:armhf 11ubuntu19 <none>
2021-06-25 19:32:18 status unpacked base-files:armhf 11ubuntu19
2021-06-25 19:32:18 status half-configured base-files:armhf 11ubuntu19
2021-06-25 19:32:18 status installed base-files:armhf 11ubuntu19
